越南频道,#genre#
HTVC Phim,http://14.255.66.32:8989/rtp/232.84.3.118:9594
Thuần Việt HD (HD 5Mbps),http://14.255.66.32:8989/rtp/232.84.2.134:9600
HTV1,http://14.255.66.32:8989/rtp/232.84.1.35:8184
HTV2 Vie Channel,http://14.255.66.32:8989/rtp/232.84.1.36:8190
HTV3 Dreams TV,http://14.255.66.32:8989/rtp/232.84.1.104:8598
HTV Keys,http://14.255.66.32:8989/rtp/232.84.1.25:8124
HTV7,http://14.255.66.32:8989/rtp/232.84.1.21:8100
HTV9,http://14.255.66.32:8989/rtp/232.84.1.31:8160
HTV THỂ THAO,http://14.255.66.32:8989/rtp/232.84.1.24:8118
HTVC Ca Nhạc,http://14.255.66.32:8989/rtp/232.84.1.126:8730
HTVC Du Lịch và Cuộc Sống,http://14.255.66.32:8989/rtp/232.84.1.221:9300
HTVC Gia Đình,http://14.255.66.32:8989/rtp/232.84.1.170:8994
HTVC Phim,http://14.255.66.32:8989/rtp/232.84.1.105:8604
HTVC Phụ Nữ,http://14.255.66.32:8989/rtp/232.84.1.127:8736
HTVC Thuần Việt,http://14.255.66.32:8989/rtp/232.84.1.22:8106
Nhân Dân TV,http://14.255.66.32:8989/rtp/232.84.3.124:10822
QUỐC HỘI,http://14.255.66.32:8989/rtp/232.84.1.234:10290
QUỐC HỘI,http://14.255.66.32:8989/rtp/232.84.2.181:10290
QPVN,http://14.255.66.32:8989/rtp/232.84.3.127:10816
VNEWS,http://14.255.66.32:8989/rtp/232.84.3.125:10434
ANTV,http://14.255.66.32:8989/rtp/232.84.1.212:9246
QPVN,http://14.255.66.32:8989/rtp/232.84.1.228:9342
VNEWS,http://14.255.66.32:8989/rtp/232.84.1.52:8292
MTV,http://14.255.66.32:8989/rtp/232.84.2.171:10834
MTV,http://14.255.66.32:8989/rtp/232.84.3.107:10834
HiTV,http://14.255.66.32:8989/rtp/232.84.1.55:8310
MTV,http://14.255.66.32:8989/rtp/232.84.1.82:8466
SCTV8 VITV,http://14.255.66.32:8989/rtp/232.84.1.32:8166
TN1 HD _ TH Thái Nguyên,http://14.255.66.32:8989/rtp/232.84.3.146:10774
PTV HD _ TH Phú Thọ,http://14.255.66.32:8989/rtp/232.84.3.148:10792
CRTV HD _ TH Cao Bằng,http://14.255.66.32:8989/rtp/232.84.3.202:11134
LSTV HD _ TH Lạng Sơn,http://14.255.66.32:8989/rtp/232.84.3.203:11140
QTV1 HD _ TH Quảng Ninh,http://14.255.66.32:8989/rtp/232.84.1.248:10978
QTV3 HD _ TH Quảng Ninh,http://14.255.66.32:8989/rtp/232.84.1.249:10984
BTV _ TH Bắc Ninh,http://14.255.66.32:8989/rtp/232.84.2.245:10506
H1 HD _ TH Hà Nội,http://14.255.66.32:8989/rtp/232.84.3.143:10738
H2 HD_ TH Hà Nội,http://14.255.66.32:8989/rtp/232.84.3.137:10744
THP HD _ TH TP. Hải Phòng,http://14.255.66.32:8989/rtp/232.84.3.142:10780
HY HD _ TH Hưng Yên,http://14.255.66.32:8989/rtp/232.84.3.110:10786
TTV HD _ TH Thanh Hóa,http://14.255.66.32:8989/rtp/232.84.3.198:11110
NTV HD _ TH Nghệ An,http://14.255.66.32:8989/rtp/232.84.2.198:10972
HTTV HD _ TH Hà Tĩnh,http://14.255.66.32:8989/rtp/232.84.3.134:10768
PTQ _ TH Quảng Ngãi,http://14.255.66.32:8989/rtp/232.84.3.126:10798
BTV1 HD _ TH Bình Dương,http://14.255.66.32:8989/rtp/232.84.3.109:10750
BTV4 HD _ TH Bình Dương,http://14.255.66.32:8989/rtp/232.84.2.156:10756
BTV9 An Viên HD,http://14.255.66.32:8989/rtp/232.84.3.199:11116
ĐNRTV1 HD _ TH Đồng Nai,http://14.255.66.32:8989/rtp/232.84.3.112:10762
THTG HD _ TH Tiền Giang,http://14.255.66.32:8989/rtp/232.84.3.204:11146
THVL1 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.2.183:10882
THVL2 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.2.184:10888
THVL1 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.152:10882
THVL2 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.164:10888
THVL3 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.165:10900
THVL4 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.160:10912
KG _ TH Kiên Giang (HD 4Mbps),http://14.255.66.32:8989/rtp/232.84.3.161:10918
THLC _ TH Lào Cai,http://14.255.66.32:8989/rtp/232.84.2.93:8718
YTV _ TH Yên Bái,http://14.255.66.32:8989/rtp/232.84.2.75:9162
ĐTV _ TH Điện Biên,http://14.255.66.32:8989/rtp/232.84.3.116:8880
HBTV _ TH Hòa Bình,http://14.255.66.32:8989/rtp/232.84.3.130:8946
LTV _ TH Lai Châu,http://14.255.66.32:8989/rtp/232.84.3.133:9174
STV _ TH Sơn La,http://14.255.66.32:8989/rtp/232.84.1.184:9078
HGTV _ TH Hà Giang,http://14.255.66.32:8989/rtp/232.84.2.85:8910
CRTV _ TH Cao Bằng,http://14.255.66.32:8989/rtp/232.84.2.109:8844
TBK _ TH Bắc Kạn,http://14.255.66.32:8989/rtp/232.84.2.92:8760
LSTV _ TH Lạng Sơn,http://14.255.66.32:8989/rtp/232.84.2.107:8646
TTV _ TH Tuyên Quang,http://14.255.66.32:8989/rtp/232.84.2.91:9138
TN1 _ TH Thái Nguyên,http://14.255.66.32:8989/rtp/232.84.2.87:9096
TN2 _ TH Thái Nguyên,http://14.255.66.32:8989/rtp/232.84.3.123:9168
PTV _ TH Phú Thọ,http://14.255.66.32:8989/rtp/232.84.2.95:9030
BGTV _ TH Bắc Giang,http://14.255.66.32:8989/rtp/232.84.2.89:8754
QTV1 _ TH Quảng Ninh,http://14.255.66.32:8989/rtp/232.84.3.105:9060
BTV _ TH Bắc Ninh,http://14.255.66.32:8989/rtp/232.84.1.133:8772
THHN _ TH Hà Nam,http://14.255.66.32:8989/rtp/232.84.2.82:8916
H1 _ TH Hà Nội,http://14.255.66.32:8989/rtp/232.84.1.29:8148
H2 _ TH Hà Nội,http://14.255.66.32:8989/rtp/232.84.1.23:8112
THD _ TH Hải Dương,http://14.255.66.32:8989/rtp/232.84.2.79:8928
THD _ TH Hải Dương,http://14.255.66.32:8989/rtp/232.84.3.113:8928
THP _ TH TP. Hải Phòng,http://14.255.66.32:8989/rtp/232.84.2.104:8934
HY _ TH Hưng Yên,http://14.255.66.32:8989/rtp/232.84.2.84:8952
NTV _ TH Nam Định,http://14.255.66.32:8989/rtp/232.84.3.119:9006
NTV _ TH Ninh Bình,http://14.255.66.32:8989/rtp/232.84.2.80:9018
TBTV _ TH Thái Bình,http://14.255.66.32:8989/rtp/232.84.2.100:9090
VP _ TH Vĩnh Phúc,http://14.255.66.32:8989/rtp/232.84.2.83:9156
TTV _ TH Thanh Hóa,http://14.255.66.32:8989/rtp/232.84.2.111:9102
NTV _ TH Nghệ An,http://14.255.66.32:8989/rtp/232.84.2.101:9012
HTTV _ TH Hà Tĩnh,http://14.255.66.32:8989/rtp/232.84.2.96:8922
QBTV _ TH Quảng Bình,http://14.255.66.32:8989/rtp/232.84.2.98:9042
QRTV _ TH Quảng Trị,http://14.255.66.32:8989/rtp/232.84.2.105:9066
TRT _ TH Thừa Thiên Huế,http://14.255.66.32:8989/rtp/232.84.2.106:9120
DaNangTV1 _ TH TP. Đà Nẵng,http://14.255.66.32:8989/rtp/232.84.1.146:8850
DaNangTV2 _ TH TP. Đà Nẵng,http://14.255.66.32:8989/rtp/232.84.3.122:8856
QRT _ TH Quảng Nam,http://14.255.66.32:8989/rtp/232.84.2.81:9048
PTQ _ TH Quảng Ngãi,http://14.255.66.32:8989/rtp/232.84.2.108:9054
BTV _ TH Bình Định,http://14.255.66.32:8989/rtp/232.84.2.88:8784
PTP _ TH Phú Yên,http://14.255.66.32:8989/rtp/232.84.3.108:10362
KTV _ TH Khánh Hòa,http://14.255.66.32:8989/rtp/232.84.2.99:8958
NTV _ TH Ninh Thuận,http://14.255.66.32:8989/rtp/232.84.2.74:9024
BTV _ TH Bình Thuận,http://14.255.66.32:8989/rtp/232.84.2.77:8820
KRT _ TH Kon Tum,http://14.255.66.32:8989/rtp/232.84.3.115:8970
THGL _ TH Gia Lai,http://14.255.66.32:8989/rtp/232.84.3.138:8904
DRT _ TH Đắk Lắk,http://14.255.66.32:8989/rtp/232.84.1.149:8868
PTD _ TH Đắk Nông,http://14.255.66.32:8989/rtp/232.84.3.140:8874
LTV _ TH Lâm Đồng,http://14.255.66.32:8989/rtp/232.84.2.78:8976
BPTV1 _ TH Bình Phước,http://14.255.66.32:8989/rtp/232.84.2.90:8814
BTV1 _ TH Bình Dương,http://14.255.66.32:8989/rtp/232.84.1.136:8790
BTV2 _ TH Bình Dương,http://14.255.66.32:8989/rtp/232.84.1.137:8796
BTV4 _ TH Bình Dương,http://14.255.66.32:8989/rtp/232.84.1.139:8808
ĐNRTV1 _ TH Đồng Nai,http://14.255.66.32:8989/rtp/232.84.1.152:8886
ĐNRTV2 _ TH Đồng Nai,http://14.255.66.32:8989/rtp/232.84.1.153:8892
TTV11 _ TH Tây Ninh,http://14.255.66.32:8989/rtp/232.84.2.97:9084
BRT _ TH Bà Rịa Vũng Tàu,http://14.255.66.32:8989/rtp/232.84.2.73:8748
LA34 _ TH Long An,http://14.255.66.32:8989/rtp/232.84.1.171:9000
THĐT1 _ TH Đồng Tháp,http://14.255.66.32:8989/rtp/232.84.1.154:8898
THTG _ TH Tiền Giang,http://14.255.66.32:8989/rtp/232.84.1.189:9108
ATV _ TH An Giang,http://14.255.66.32:8989/rtp/232.84.2.110:8742
THBT _ TH Bến Tre,http://14.255.66.32:8989/rtp/232.84.2.115:8778
THVL1 _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.1.195:9144
THVL2 _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.1.196:9150
THVL3 _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.151:10894
THVL4 _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.150:10906
THTV _ TH Trà Vinh,http://14.255.66.32:8989/rtp/232.84.2.102:9114
HGTV _ TH Hậu Giang,http://14.255.66.32:8989/rtp/232.84.2.112:8940
KG _ TH Kiên Giang,http://14.255.66.32:8989/rtp/232.84.2.113:8964
STV1 _ TH Sóc Trăng,http://14.255.66.32:8989/rtp/232.84.2.103:9072
BLTV _ TH Bạc Liêu,http://14.255.66.32:8989/rtp/232.84.2.116:8766
CTV _ TH Cà Mau,http://14.255.66.32:8989/rtp/232.84.2.117:8826
THTPCT _ TH TP. Cần Thơ,http://14.255.66.32:8989/rtp/232.84.2.118:8838
Animal Planet,http://14.255.66.32:8989/rtp/232.84.3.139:10702
Asian Food Network,http://14.255.66.32:8989/rtp/232.84.2.129:9570
AXN,http://14.255.66.32:8989/rtp/232.84.3.121:10660
Baby TV,http://14.255.66.32:8989/rtp/232.84.2.36:10624
Baby TV,http://14.255.66.32:8989/rtp/232.84.3.128:10624
Bloomberg,http://14.255.66.32:8989/rtp/232.84.3.157:10696
Cartoon Network,http://14.255.66.32:8989/rtp/232.84.2.144:10684
[V] HD,http://14.255.66.32:8989/rtp/232.84.2.132:9588
[V] HD,http://14.255.66.32:8989/rtp/232.84.3.144:9588
CINEMAX,http://14.255.66.32:8989/rtp/232.84.2.139:10654
CINEMAX,http://14.255.66.32:8989/rtp/232.84.3.117:10654
Clubbing TV,http://14.255.66.32:8989/rtp/232.84.3.194:11086
CNA,http://14.255.66.32:8989/rtp/232.84.2.55:10540
CNA,http://14.255.66.32:8989/rtp/232.84.3.155:10540
CNN,http://14.255.66.32:8989/rtp/232.84.3.153:10690
Da Vinci,http://14.255.66.32:8989/rtp/232.84.2.131:9582
Discovery Channel,http://14.255.66.32:8989/rtp/232.84.2.53:10528
Discovery Channel,http://14.255.66.32:8989/rtp/232.84.3.132:10528
Disney Channel,http://14.255.66.32:8989/rtp/232.84.2.143:10678
Disney Junior,http://14.255.66.32:8989/rtp/232.84.3.200:11122
DW (English),http://14.255.66.32:8989/rtp/232.84.2.233:10416
DW (English),http://14.255.66.32:8989/rtp/232.84.3.154:10416
Fashion TV,http://14.255.66.32:8989/rtp/232.84.2.52:10522
Fashion TV,http://14.255.66.32:8989/rtp/232.84.3.149:10522
FOX HD,http://14.255.66.32:8989/rtp/232.84.2.120:8448
FOX LIFE,http://14.255.66.32:8989/rtp/232.84.1.78:8442
FOX MOVIES,http://14.255.66.32:8989/rtp/232.84.1.77:8436
FOX SPORTS,http://14.255.66.32:8989/rtp/232.84.2.141:10666
FOX SPORTS 2,http://14.255.66.32:8989/rtp/232.84.2.142:10672
FOX SPORTS,http://14.255.66.32:8989/rtp/232.84.3.111:10666
FOX SPORTS 2,http://14.255.66.32:8989/rtp/232.84.3.129:10672
HBO,http://14.255.66.32:8989/rtp/232.84.2.138:10648
HBO,http://14.255.66.32:8989/rtp/232.84.3.101:10648
NATIONAL GEOGRAPHIC HD,http://14.255.66.32:8989/rtp/232.84.1.1:7980
NAT GEO PEOPLE,http://14.255.66.32:8989/rtp/232.84.1.76:8430
NAT GEO WILD,http://14.255.66.32:8989/rtp/232.84.2.123:8454
NHK WORLD JAPAN,http://14.255.66.32:8989/rtp/232.84.1.72:8406
Outdoor Channel,http://14.255.66.32:8989/rtp/232.84.1.107:10218
RED BY HBO,http://14.255.66.32:8989/rtp/232.84.2.172:10840
RED BY HBO,http://14.255.66.32:8989/rtp/232.84.3.103:10840
TLC,http://14.255.66.32:8989/rtp/232.84.3.156:10708
TVE,http://14.255.66.32:8989/rtp/232.84.3.205:11152
WBTV,http://14.255.66.32:8989/rtp/232.84.2.51:10516
WBTV,http://14.255.66.32:8989/rtp/232.84.3.114:10516
Aljazeera,http://14.255.66.32:8989/rtp/232.84.3.206:11158
Animal Planet,http://14.255.66.32:8989/rtp/232.84.1.48:8268
Arirang,http://14.255.66.32:8989/rtp/232.84.1.43:8238
Asian Food Network,http://14.255.66.32:8989/rtp/232.84.1.115:10236
ABC AUSTRALIA,http://14.255.66.32:8989/rtp/232.84.2.244:10482
ABC AUSTRALIA,http://14.255.66.32:8989/rtp/232.84.3.131:10482
AXN,http://14.255.66.32:8989/rtp/232.84.1.14:8058
BBC WORLD NEWS,http://14.255.66.32:8989/rtp/232.84.2.239:10452
Bloomberg,http://14.255.66.32:8989/rtp/232.84.1.7:8016
Cartoon Network,http://14.255.66.32:8989/rtp/232.84.1.16:8070
CCTV2,http://14.255.66.32:8989/rtp/232.84.2.240:10458
CCTV2,http://14.255.66.32:8989/rtp/232.84.3.166:10458
CCTV4,http://14.255.66.32:8989/rtp/232.84.3.183:11020
CCTV7,http://14.255.66.32:8989/rtp/232.84.3.184:11026
CCTV10,http://14.255.66.32:8989/rtp/232.84.2.170:10828
CCTV10,http://14.255.66.32:8989/rtp/232.84.3.159:10828
CCTV12,http://14.255.66.32:8989/rtp/232.84.3.180:11002
CCTV14,http://14.255.66.32:8989/rtp/232.84.3.182:11014
CCTV15,http://14.255.66.32:8989/rtp/232.84.3.181:11008
[V],http://14.255.66.32:8989/rtp/232.84.1.13:8052
CINEMAX,http://14.255.66.32:8989/rtp/232.84.1.20:8094
CNA,http://14.255.66.32:8989/rtp/232.84.1.5:8004
CNBC,http://14.255.66.32:8989/rtp/232.84.3.179:10488
CNN,http://14.255.66.32:8989/rtp/232.84.2.126:8076
Da Vinci,http://14.255.66.32:8989/rtp/232.84.1.108:10224
Discovery Channel,http://14.255.66.32:8989/rtp/232.84.1.47:8262
Disney Channel,http://14.255.66.32:8989/rtp/232.84.1.18:8082
Disney Junior,http://14.255.66.32:8989/rtp/232.84.1.90:10398
Dragon TV,http://14.255.66.32:8989/rtp/232.84.3.185:11032
DW (English),http://14.255.66.32:8989/rtp/232.84.1.6:8010
DW (Deutsch),http://14.255.66.32:8989/rtp/232.84.3.168:10428
Fashion TV,http://14.255.66.32:8989/rtp/232.84.1.2:7986
Filmy,http://14.255.66.32:8989/rtp/232.84.3.210:11182
FOX,http://14.255.66.32:8989/rtp/232.84.1.66:8370
FOX LIFE,http://14.255.66.32:8989/rtp/232.84.2.119:8382
FOX MOVIES,http://14.255.66.32:8989/rtp/232.84.1.10:8034
